2025-05-03 10:46:51,601 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/generation/__pycache__/generator.cpython-310.pyc', wd=20, mask=IN_CLOSE_NOWRITE, cookie=0, name='generator.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,601 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/__init__.cpython-310.pyc', wd=25, mask=IN_OPEN, cookie=0, name='__init__.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,602 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/__init__.cpython-310.pyc', wd=25, mask=IN_CLOSE_NOWRITE, cookie=0, name='__init__.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,602 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models', wd=2, mask=IN_ISDIR|IN_OPEN, cookie=0, name='models'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,603 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models', wd=13, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,603 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models', wd=2, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name='models'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,604 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models', wd=13, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,604 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/langchain_ollama.cpython-310.pyc', wd=25, mask=IN_OPEN, cookie=0, name='langchain_ollama.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,604 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/langchain_ollama.cpython-310.pyc', wd=25, mask=IN_CLOSE_NOWRITE, cookie=0, name='langchain_ollama.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,899 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/app.py', wd=1, mask=IN_OPEN, cookie=0, name='app.py'> - [inotify_buffer.py:52]
